h3_polyfill,Trees,Habitats,Livestock production,Crop production,All food production,geometry_wkt
86195830fffffff,2 - medium,3 - high,3 - high,2 - medium,2 - medium,"POLYGON ((385741.0031289882 171878.0937353617, 382443.54925380915 170854.73966578243, 381907.6791947234 167323.10102726176, 384670.46666848275 164815.5720510246, 387967.7937117423 165840.43307263515, 388502.4607985961 169371.31647780555, 385741.0031289882 171878.0937353617))"
861959467ffffff,2 - medium,3 - high,2 - medium,1 - low,1 - low,"POLYGON ((408032.01453684916 111440.57158591921, 404735.9568640736 110402.2022001874, 404203.3258905363 106856.3779118724, 406967.9248245636 104349.70183917205, 410263.8272753067 105389.56596512866, 410795.2866933125 108934.61180531187, 408032.01453684916 111440.57158591921))"
86195d227ffffff,1 - low,3 - high,1 - low,2 - medium,1 - low,"POLYGON ((492856.8049018453 178385.0448359754, 489605.20246707095 177369.52937999828, 489091.2980185814 173861.52705166128, 491830.17150705983 171369.78405058314, 495081.64277223137 172386.78895623708, 495594.3723878473 175894.04776378797, 492856.8049018453 178385.0448359754))"
86195124fffffff,3 - high,3 - high,3 - high,3 - high,3 - high,"POLYGON ((355469.9188853649 343155.1135959171, 352183.76164394215 342176.91449488053, 351644.9546616209 338695.36339507357, 354393.58566995966 336192.6969915756, 357679.6944518853 337172.4270497283, 358217.22137937596 340653.2928473694, 355469.9188853649 343155.1135959171))"
861943297ffffff,3 - high,1 - low,1 - low,3 - high,3 - high,"POLYGON ((504417.7272196274 278571.0907861742, 501184.97922491125 277583.3702631502, 500676.4542635044 274109.9578014944, 503401.88862216636 271624.96712909505, 506634.54720027006 272614.18659440096, 507141.8615071322 276086.8981008077, 504417.7272196274 278571.0907861742))"
861958d27ffffff,3 - high,3 - high,3 - high,3 - high,3 - high,"POLYGON ((356243.75362805015 266776.38625757175, 352946.9693247613 265777.21955886006, 352406.83441681956 262270.1940918978, 355164.73442734074 259763.0533677272, 358461.4364293389 260763.7434477891, 359000.32141505904 264270.05119409313, 356243.75362805015 266776.38625757175))"
861948cf7ffffff,1 - low,2 - medium,1 - low,3 - high,2 - medium,"POLYGON ((632580.7623183152 165581.0125082574, 629386.9994473504 164570.00687545392, 628900.9367942165 161086.18489263396, 631609.7665880406 158614.10595610304, 634803.384164033 159626.5756457552, 635288.317888063 163109.66056231252, 632580.7623183152 165581.0125082574))"
86195c4b7ffffff,3 - high,2 - medium,3 - high,3 - high,3 - high,"POLYGON ((340151.0564188596 325293.75339795236, 336855.9058872553 324309.78681893647, 336313.43223568675 320819.09608441417, 339067.3875133384 318313.0663349478, 342362.48314717173 319298.5649480549, 342903.67909757176 322788.56157749885, 340151.0564188596 325293.75339795236))"
86195bd8fffffff,1 - low,2 - medium,1 - low,1 - low,1 - low,"POLYGON ((300069.55466081016 148674.49018928365, 296733.5561490629 147639.9739283091, 296179.91143432306 144083.79862856923, 298963.4833220259 141562.91222131514, 302299.35025764286 142598.9470218112, 302851.777579004 146154.35006378638, 300069.55466081016 148674.49018928365))"
861959797ffffff,1 - low,3 - high,2 - medium,1 - low,1 - low,"POLYGON ((392699.0326467311 93082.09295195233, 389394.24535258225 92037.91552095019, 388858.20504680806 88483.43168891859, 391628.1207965689 85973.9130567415, 394932.74551288586 87019.58509872775, 395467.617737897 90573.28155183178, 392699.0326467311 93082.09295195233))"
86195dd67ffffff,1 - low,1 - low,1 - low,2 - medium,1 - low,"POLYGON ((477486.09051577473 263695.033191293, 474239.7997800204 262701.76531994354, 473725.15804635664 259218.0570003786, 476458.0206928551 256728.32618075266, 479704.21787655214 257723.09610016755, 480217.64664036443 261206.0951093188, 477486.09051577473 263695.033191293))"
861946017ffffff,1 - low,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((468916.77514049533 517600.65832872456, 465705.39351876813 516676.95732536376, 465196.4108741314 513279.7701292671, 467900.11907543347 510806.8868697963, 471111.5140449725 511732.11002511345, 471619.18814273196 515128.69450795883, 468916.77514049533 517600.65832872456))"
86194e777ffffff,2 - medium,1 - low,1 - low,2 - medium,2 - medium,"POLYGON ((570441.6235482265 202620.61363697314, 567226.3140604505 201616.01885531354, 566729.0182697382 198131.29962055176, 569448.1942979785 195651.9025921882, 572663.3776863774 196657.97657721536, 573159.5118041136 200141.96872392844, 570441.6235482265 202620.61363697314))"
86197326fffffff,2 - medium,2 - medium,1 - low,2 - medium,1 - low,"POLYGON ((434282.27302406565 553141.8444263565, 431061.95560919266 552226.2801249276, 430546.02977189096 548835.3804100411, 433251.75377780735 546360.6350902915, 436472.10332231974 547277.7289668872, 436986.69741301506 550668.038795607, 434282.27302406565 553141.8444263565))"
86195d80fffffff,2 - medium,1 - low,1 - low,1 - low,1 - low,"POLYGON ((502059.07484743587 241303.92781160056, 498820.03902020294 240305.94475950988, 498309.88291161746 236819.873072016, 501039.9602747175 234332.5014341406, 504278.8911248641 235331.97986967157, 504787.85025914176 238817.3348852034, 502059.07484743587 241303.92781160056))"
86195d827ffffff,1 - low,1 - low,1 - low,2 - medium,2 - medium,"POLYGON ((503586.15417706507 251751.8221032165, 500349.2372585052 250756.76056057785, 499839.7165255511 247274.38993693504, 502568.31395842094 244787.79337864224, 505805.13020758587 245784.35118970723, 506313.4503634945 249266.00961206795, 503586.15417706507 251751.8221032165))"
861943217ffffff,3 - high,1 - low,1 - low,3 - high,3 - high,"POLYGON ((520054.49821430113 280035.4025433571, 516828.61126039136 279048.9478126029, 516323.43450527044 275579.15477318026, 519045.35188809095 273096.5158824028, 522271.1487725414 274084.467005207, 522775.11901207094 277553.56093634426, 520054.49821430113 280035.4025433571))"
86194a117ffffff,2 - medium,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((545818.9966309832 138124.3788046381, 542584.4518233383 137101.07348869572, 542079.9960529539 133591.2501038036, 544811.2291190594 131105.4879932208, 548045.6223063358 132130.2684274728, 548548.9347071792 135639.33621685967, 545818.9966309832 138124.3788046381))"
861942287ffffff,2 - medium,2 - medium,3 - high,2 - medium,1 - low,"POLYGON ((437650.5227920091 370919.41323697404, 434403.0147024714 369953.3464586725, 433882.78839746857 366497.7371540084, 436611.3366186868 364008.86216683633, 439858.8003192746 364976.44782638224, 440377.7608700502 368431.3898701252, 437650.5227920091 370919.41323697404))"
861955d5fffffff,1 - low,2 - medium,3 - high,1 - low,1 - low,"POLYGON ((361960.90750177205 545612.5364967261, 358708.7904478988 544691.1101418117, 358175.8401734679 541283.1188871231, 360896.3597721448 538797.1521516965, 364148.5149104551 539720.1206852685, 364680.11305791745 543127.5139885836, 361960.90750177205 545612.5364967261))"
86195874fffffff,3 - high,3 - high,3 - high,1 - low,2 - medium,"POLYGON ((353782.17040362296 168701.0280489059, 350470.9999299537 167674.9979290375, 349928.56147208984 164135.91829431552, 352698.5049039007 161623.6284087969, 356009.5493035196 162651.17055281904, 356550.7770355036 166189.49092072365, 353782.17040362296 168701.0280489059))"
86195831fffffff,2 - medium,3 - high,3 - high,1 - low,2 - medium,"POLYGON ((379680.9675759546 173362.3285155954, 376381.1854627664 172339.03214929218, 375844.11009557365 168806.638386239, 378608.022836087 166298.29647314968, 381907.6791947234 167323.10102726176, 382443.54925380915 170854.73966578243, 379680.9675759546 173362.3285155954))"
861948407ffffff,2 - medium,3 - high,2 - medium,2 - medium,2 - medium,"POLYGON ((614150.5604662528 143071.38778773454, 610945.8417773768 142053.31838140235, 610455.2121243564 138558.81847558293, 613170.4273315745 136083.13609769885, 616374.9925555374 137102.66972944347, 616864.4966859822 140596.42187051004, 614150.5604662528 143071.38778773454))"
8619402c7ffffff,1 - low,1 - low,1 - low,1 - low,1 - low,"POLYGON ((557216.0375180666 367168.7014036596, 554018.8694505544 366208.091682188, 553524.6132027478 362775.0602714365, 556228.7532609629 360303.2987315268, 559425.8639783035 361265.40620569745, 559918.8926518817 364697.7777412895, 557216.0375180666 367168.7014036596))"
8619416f7ffffff,1 - low,1 - low,1 - low,2 - medium,1 - low,"POLYGON ((585979.0778055183 290298.85354302544, 582782.8582658379 289318.84167711507, 582291.9639748109 285865.6609152598, 584998.4803080924 283393.18198147614, 588194.6087003332 284374.6798972423, 588684.312565198 287827.170999215, 585979.0778055183 290298.85354302544))"
86195426fffffff,3 - high,1 - low,3 - high,1 - low,3 - high,"POLYGON ((324458.6803840632 544775.4392777848, 321190.6877614385 543851.83201343, 320648.9835167327 540436.1182100102, 323376.63621585054 537944.6127186208, 326644.6713104234 538869.7688174848, 327185.01193152124 542284.881787846, 324458.6803840632 544775.4392777848))"
86195565fffffff,1 - low,3 - high,3 - high,1 - low,2 - medium,"POLYGON ((345324.8789269347 459082.29181481083, 342051.99356435926 458135.7468248055, 341513.30844649085 454692.80677801813, 344248.83594213065 452197.04833647143, 347521.7244265449 453145.13447096385, 348059.0829894932 456587.4381501231, 345324.8789269347 459082.29181481083))"
8619732efffffff,2 - medium,3 - high,2 - medium,1 - low,1 - low,"POLYGON ((418684.3228641342 551953.2310994718, 415457.19374701666 551036.525549948, 414937.6060045261 547642.1019641989, 417646.4843844877 545164.9755700651, 420873.6470976256 546083.2134250014, 421391.8985187946 549477.0455771986, 418684.3228641342 551953.2310994718))"
86194a8e7ffffff,3 - high,2 - medium,1 - low,2 - medium,1 - low,"POLYGON ((571142.6474369083 142793.19510760574, 567919.5050865748 141772.5887094297, 567420.2691918755 138269.31574510434, 570145.3142190061 135787.40106986472, 573368.3054484932 136809.47893067836, 573866.4034272537 140312.00036363635, 571142.6474369083 142793.19510760574))"
